FirstName,MiddleName,LastName,Suffix,Type,Email,Affiliation
test1,test1,test1,test1,students,studenttest1@gmail.com,ppsc_students
test2,test2,test2,test2,students,studenttest2@gmail.com,ppsc_students
test3,test3,test3,test3,students,studenttest3@gmail.com,ppsc_students
test4,test4,test4,test4,students,studenttest4@gmail.com,npc_students
test5,test5,test5,test5,students,studenttest5@gmail.com,npc_students
test6,test6,test6,test6,students,studenttest6@gmail.com,npc_students
test7,test7,test7,test7,students,studenttest7@gmail.com,njmpti_students
test8,test8,test8,test8,students,studenttest8@gmail.com,njmpti_students
test9,test9,test9,test9,students,studenttest9@gmail.com,njmpti_students
test10,test10,test10,test10,students,studenttest10@gmail.com,nfti_students
test11,test11,test11,test11,students,studenttest11@gmail.com,nfti_students
test12,test12,test12,test12,students,studenttest12@gmail.com,nfti_students
test13,test13,test13,test13,students,studenttest13@gmail.com,nfsti_students
test14,test14,test14,test14,students,studenttest14@gmail.com,nfsti_students
test15,test15,test15,test15,students,studenttest15@gmail.com,nfsti_students
test16,test16,test16,test16,students,studenttest16@gmail.com,nfsti_students
test17,test17,test17,test17,students,studenttest17@gmail.com,ppsa_students
test18,test18,test18,test18,students,studenttest18@gmail.com,ppsa_students
test19,test19,test19,test19,students,studenttest19@gmail.com,ppsa_students
test20,test20,test20,test20,students,studenttest20@gmail.com,ppsa_students
